"""+/-""",DEF RTG,FG%,NETRTG,Num of All Stars,OFFRTG,OPP EFG%,OPP FG%,OPP PTS OFF TOV,PIE,Wins,
-6.1,112.8,45.1,-5.5,0,107.3,54.2,47.3,21,46.4,3,
4.4,107,46.5,4.2,1,111.2,51.4,44.9,14.9,53,1,
-0.3,109.2,45,-0.3,1,108.9,51.3,45.7,17.4,49.1,2,
-1.4,111.7,44.6,-1.5,1,110.3,53.7,46.9,13.8,48.3,2,
-8.3,112.7,45.4,-8.2,0,104.5,54.1,47.3,16.7,45.4,4,
-9.4,116.5,44.4,-9.8,0,106.8,56.2,49.4,16.7,43.7,4,
-1.3,110.2,44.7,-1.5,0,108.7,52.2,45.9,15.6,49.2,3,
4.1,108,46.6,4.2,1,112.2,52,45.8,15.1,52.4,0,
-0.7,108.9,44,-0.8,1,108.1,52.6,47,16.2,48,2,
6.7,108.4,49.1,6.6,3,115,50.7,44.3,17.5,54.7,0,
4.8,110,44.9,4.8,1,114.8,52.5,46.7,16.4,49.8,0,
3.4,105.7,47.5,3.4,0,109.1,51.6,45.1,15,52.7,1,
0.8,110.2,47.1,1,0,111.2,51.2,45.7,17.6,50.4,1,
-1.7,109,47.1,-1.5,1,107.4,51.6,45.2,18.4,49.5,2,
-2.8,107.9,44.9,-2.6,0,105.3,52.1,45.1,16.6,48.9,3,
-0.3,107.2,45,-0.4,0,106.8,51.2,44.3,17.2,50,2,
9.1,104.8,47.6,8.8,2,113.6,50.2,43.2,14.6,55.5,0,
-1.2,112.2,45.7,-1.4,1,110.8,53.7,46.7,15.3,50,3,
-1.2,112,47.4,-1.2,1,110.8,53.2,46.6,18.1,49.8,3,
-9.2,113,43.4,-8.8,0,104.2,53.4,46.8,16.6,44.2,4,
3.3,106.3,45.4,3.3,2,109.6,52.3,46,16.1,50.5,1,
0.6,107.4,45.3,0.5,1,107.9,51.5,45.5,14.8,50.7,2,
2.9,108.8,47.1,2.7,2,111.5,51,45.4,17.3,53,1,
-9.3,114.2,45.9,-8.9,0,105.3,54.5,48.2,19.5,45,4,
4.2,109.3,46.6,4.1,1,113.4,51.5,45.6,15.2,52.1,1,
-1.1,110.5,46.3,-1.1,0,109.3,53.1,46.5,16.4,49.5,2,
1.6,110.7,47.9,1.5,1,112.2,52.9,46.4,15,51.5,1,
5.9,106.9,47.3,5.6,2,112.5,50.9,45,15.9,53.2,0,
5.3,105,46.8,5.1,0,110.1,50.6,45.1,16.9,53.9,1,
-2.9,112.9,46.8,-2.7,1,110.2,54.7,48,17,48.7,3,
