"""+/-""",DEF RTG,FG%,NETRTG,Num of All Stars,OFFRTG,OPP EFG%,OPP FG%,OPP PTS OFF TOV,PIE,Wins
0.9,105.2,45.1,-0.7,0,104.5,50.7,44.4,17.4,50.6,2
-2.6,108,45.4,2.6,1,110.6,50.3,45,15.2,51.4,1
6.7,110.1,44.4,-6.5,0,103.6,51.3,45.8,19.1,46,4
-0.2,108.4,44.2,-0.1,1,108.4,52.3,45.6,13.1,50.5,3
-0.4,106.2,44.4,0.3,1,106.5,50.7,45.6,15.5,50.4,2
-3.2,109.7,47,3,3,112.8,51.6,45.8,16.6,51,1
2.9,107.7,44,-3,0,104.7,52.9,46.9,14,47.9,3
-0.5,111.7,46.9,0.4,0,112.1,53.2,47.7,18,50.3,2
1.1,106.7,44.9,-1.4,0,105.3,51.6,46,12.7,48.2,2
-11.6,103.4,49.5,11.3,4,114.8,48.6,43.5,16.7,57.9,0
-5.8,108.4,46.2,5.6,1,114.1,51.9,46.3,17.5,51.6,0
0.2,108,46.5,-0.2,1,107.9,51.2,45.1,16.2,50.5,2
-4.3,107.5,47.5,4.4,1,111.8,50.6,45.2,15.2,52.7,1
6.9,112,45,-6.7,0,105.3,54.2,48.3,18,44.6,4
-0.5,106.5,43.5,0.5,1,107,50.6,44.3,14.8,50.1,2
-1.1,106.4,45.5,1.1,0,107.4,49.6,45,13.9,50,2
0.2,108.7,47.4,-0.2,1,108.5,51.8,45.8,16.2,50.4,2
1.1,110.9,46.7,-0.9,0,110,53.5,47.5,17.2,50.1,3
2.1,106.7,45,-2.1,1,104.6,50.9,45,15.6,49.3,3
3.7,110.7,44.7,-3.6,1,107.1,51.1,45.5,16.5,48.2,3
-0.8,107,45.2,0.9,1,107.9,51.1,45.9,16.9,49.9,1
6.6,110.3,44,-6.5,0,103.7,52.3,46.7,15.9,46,3
5.7,108.2,44.2,-5.6,0,102.7,51.2,46.1,18.5,47,4
5.6,111.3,45,-5.2,0,106.1,52.5,46.7,18.1,46.2,4
0.5,110,45.9,-0.5,0,109.4,50.8,45.5,15.7,49.3,2
3.9,110.7,46.1,-4.2,1,106.5,52.8,46.2,17.4,47.8,3
-7.2,102.8,46.9,7.5,1,110.3,49.2,44.3,14.7,55.1,0
-4.2,107.1,46.4,4.3,2,111.4,50.7,44.9,14.9,51.6,1
-3.9,104.6,46.6,4.3,1,108.9,49.3,44.3,15.2,53.4,1
-1.8,108.7,47.5,1.6,1,110.4,52.4,46.6,16.4,51.1,1
3.6,100.7,45.8,3.9,2,104.6,48,43.2,16,52.8,1
3.2,102.5,43.9,3.3,1,105.8,48.7,44.1,14.8,52,1
-7.4,109.7,45.3,-7.4,0,102.3,53.4,47.9,18.3,46,4
2.7,103.7,43.9,2.6,0,106.4,49.6,44.4,14.1,51.1,1
-1.5,105.5,44.1,-1.4,2,104,48.5,44.1,16,49.4,2
6,103.9,46,6.3,1,110.2,49.6,44.8,15.5,52.8,0
-0.3,105.9,44.4,-0.4,0,105.5,50.4,45.1,14.8,50.3,2
-3.1,108.2,44.2,-3.2,0,104.9,51.5,46.1,16.8,47.9,3
0.6,104.9,43.9,0.4,1,105.2,50.4,46.1,14.6,48.6,2
10.8,102.8,48.7,10.6,3,113.4,47.9,43.5,16.6,56.7,0
0.2,107.3,45.2,0,1,107.3,51.6,45.9,19.5,49,2
1.7,102.2,45,1.6,1,103.8,48.9,44,16.3,51.8,2
4.3,102.6,46.5,4.5,1,107.2,48,43.4,14.5,53.3,1
-9.6,110.3,41.4,-9.7,1,100.7,52.3,47.3,16.5,42.4,4
-2.2,107,44,-2.4,0,104.7,51.8,45.6,15.1,48.3,2
1.6,103.7,47,1.7,2,105.4,48.5,44.2,15.6,52.5,1
-4.2,107.8,46.7,-4.5,0,103.3,51,45.4,17.7,48.3,3
-3.5,109,46.4,-3.6,0,105.4,52.4,47.1,17.8,49.7,3
-3.8,108.4,44.8,-3.7,1,104.8,52.3,46.8,14.9,47.2,3
-2.7,106.6,43.9,-2.8,1,103.9,48.7,44.3,15.4,48.7,3
7.3,104.8,47.6,7.4,2,112.1,48.4,43.8,17.6,54.6,0
-1.6,106,45.5,-1.6,0,104.4,51.3,46,16,48.8,3
-10.2,108.6,43.1,-10.3,0,98.4,51,46.4,20,42.8,4
-6.7,107.9,43.5,-6.5,0,101.4,52.3,46.7,20.2,45,4
0.8,106.8,45,0.8,0,107.6,50.3,45.3,16.3,49.3,2
-2.5,107.6,46.4,-2.3,1,105.3,52.1,46.2,18.6,49.4,3
10.6,98.2,48.4,11.1,2,109.3,47.7,43.6,13.5,57.8,0
4.5,104.8,45.1,4.4,2,109.3,49.8,44.4,14.2,52.5,0
1.8,103.2,44.9,1.8,0,105,49.5,44.6,16,50.8,2
-0.5,105.1,46,-0.5,1,104.5,51.5,46.2,15.7,49.7,2
-5.4,102.2,46.6,5.9,3,108.2,49.2,43.9,15.7,54,0
-0.2,103.5,44.3,0.3,0,103.8,49.4,45,16.2,49.8,2
2.9,106.3,45.1,-2.9,0,103.3,50.6,45.6,15.6,48,2
3.2,103,42,-3.5,0,99.5,48.7,44,12.8,48.2,3
-3,103.3,44.2,3,2,106.3,47.3,43.5,15.3,52.9,1
-4.5,105.3,45.8,4.8,2,110.1,50.2,45.6,16.2,51.4,1
-2.9,104.9,46.3,3.2,1,108.2,50.3,45,15.2,52.1,1
3.5,107.1,43.3,-3.3,0,103.8,50.4,45.8,16.4,46.5,3
1,105.4,43.2,-1.1,0,104.3,50.2,45.6,15.8,47.8,3
-10.1,100.4,47.8,10,2,110.4,47,42.8,15.2,56.9,0
-3.4,102.6,44.4,3.5,1,106,48.6,44.3,18.3,50.9,0
-0.3,102.7,43.9,0.2,0,102.9,47.8,43.5,15.5,50.5,2
-6.6,104.7,47.3,6.8,2,111.5,49.3,44.2,14.9,54,0
6.8,109.4,43.5,-7.2,1,102.2,51.8,46.6,15.9,45,4
-3.2,101.2,45.8,3.5,1,104.7,49.2,44.2,14.1,53,0
2.6,106.1,45.6,-3,2,103.2,50.5,45.4,16.9,49.2,2
-0.4,101.3,45.9,0.6,0,101.9,48.7,43.7,16.8,51.1,2
8.8,110.9,43.8,-9.1,0,101.8,53.7,48.7,17.4,45.3,4
-0.8,106.3,45.7,0.8,1,107.1,49.6,45.6,14.8,50.8,2
9.3,109,42.8,-10.1,1,98.9,51.2,46,17.1,44.1,4
-2.2,104.6,44.7,2.1,2,106.7,48.9,44,16.5,50.5,2
5.7,106.8,45.3,-5.8,0,101,51.4,46.3,16.9,45.5,4
9,103.9,40.8,-9,0,94.8,49.7,44.9,20.6,42.6,4
0.9,105.3,45.2,-1.1,0,104.2,49.7,45.2,17.2,49.1,2
-4.2,102.8,45,4.3,2,107.1,47.6,43.9,15.1,52.2,1
3.7,108.2,45.5,-3.8,1,104.5,50.7,45.6,18.6,48.5,3
-6.2,101.3,46.8,6.3,1,107.6,48.4,44.4,15.1,54.5,0
-3.1,107.1,45.5,3.1,1,110.2,50.6,45.9,15,50.6,1
-0.2,104.1,44.7,0.1,0,104.2,49.1,44.6,17.4,50.7,2
-0.7,102.3,46.2,0.7,1,103,48.1,43.3,16.3,52.5,1
-0.5,105.6,45.8,-0.7,1,104.9,51,46.2,17.3,50.2,2
-4.5,106.5,43.5,-4.6,0,101.9,50.5,46.5,16.5,46.1,4
-1,106.7,45.9,-1.3,1,105.4,50.9,45.8,16.6,49.2,2
-0.2,103.3,44.2,-0.4,0,102.9,49.1,44.2,14,50.8,2
1.9,99.8,43.2,1.9,1,101.7,47.1,43,15.6,52.8,1
-3.3,107,43.7,-3.5,1,103.5,50.8,45.2,16.6,46.9,3
2.4,107.2,47.4,2.3,1,109.5,51.5,46.4,16.2,52.1,1
-2.1,107.3,44.7,-2.2,0,105.1,50,45.7,17.6,48.1,3
-3.7,109,44.7,-3.7,0,105.2,52,47,16.9,46.4,3
4.8,101.4,46.2,4.9,1,106.2,47.7,43.6,17,52.8,1
4.6,105.2,47.2,4.5,2,109.8,48.9,44.3,18,53.4,0
4.4,98.9,44.9,4.7,2,103.6,46,42,15.4,54.5,0
7,104,47.4,7.3,2,111.3,48.4,44.1,15.6,54.8,0
